AImages,SetA,corrans,corransB,BImages,SetB,CImages,SetC,corransC,corransD,DImages,SetD,EImages,SetE,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
,,,,,,,,,1,C:\Users\Shane\Desktop\RavenPyV5\D_3.png,D_3.png,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,1,1,0.761162199,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_11.png,D_11.png,,,,,,,,,,,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,2,1,0.067419123,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,5,C:\Users\Shane\Desktop\RavenPyV5\D_12.png,D_12.png,,,,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,3,0,0.033725497,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_4.png,D_4.png,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,4,0,0.000543977,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,8,C:\Users\Shane\Desktop\RavenPyV5\D_6.png,D_6.png,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,5,0,0.000405687,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,5,C:\Users\Shane\Desktop\RavenPyV5\D_5.png,D_5.png,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,6,0,0.000542897,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,7,C:\Users\Shane\Desktop\RavenPyV5\D_7.png,D_7.png,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,7,1,0.202471827,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_1.png,D_1.png,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,7,0,0.656694834,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,1,C:\Users\Shane\Desktop\RavenPyV5\D_2.png,D_2.png,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,6,0,0.051735082,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,4,C:\Users\Shane\Desktop\RavenPyV5\D_10.png,D_10.png,,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,5,0,0.017096653,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
